Accounts Fee Code :,,,,,,
ACCOUNTID,Account Name,Account Type,Retained Margin Umbrella no Expenses,Retained Margin Umbrella with Expenses,Retained Margin Non CIS (SE),Retained Margin CIS
zcrm_1171216000000219264,Proactive Personnel,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000219265,Professional Technical,Agency,£24,£24,£24,NA
zcrm_1171216000000219267,Pulse Recruitment Bureau,Agency,26.90,26.90,NA,NA
zcrm_1171216000000219268,QS Recruitment Nottingham,Agency,£19,£19,NA,NA
zcrm_1171216000000219269,R. Blackett Charlton Ltd,Agency,,,,
zcrm_1171216000000219270,RSS INFRASTRUCTURE LTD,Agency,"<12 hrs =£6.90,hrs between 12-16=11.70,16-20=11.95,20-24=15.45,24-32=18.45,32-40=20.95,40-48=23.45,48-55=24.45,55+=26.95","<12 hrs =£6.90,hrs between 12-16=11.70,16-20=11.95,20-24=15.45,24-32=18.45,32-40=20.95,40-48=23.45,48-55=24.45,55+=26.95",NA,"<12 hrs =£6.90,hrs between 12-16=11.70,16-20=11.95,20-24=15.45,24-32=18.45,32-40=20.95,40-48=23.45,48-55=24.45,55+=26.95"
zcrm_1171216000000219271,Randstad Group,Agency,,,,
zcrm_1171216000000219272,RED CSI,Agency,"Up to 18 hrs = £11.95, 18 hrs + = £17.95","Up to 18 hrs = £11.95, 18 hrs + = £17.95",NA,NA
zcrm_1171216000000219273,Redline Group Ltd,Agency,£20,£20,NA,NA
zcrm_1171216000000219274,Resource Group,Agency,,,,
zcrm_1171216000000219275,Resourcing Solutions Ltd,Agency,,,,
zcrm_1171216000000219278,Ganymede Energy,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000219280,River Professional Services,Agency,,,,
zcrm_1171216000000219281,RMD,End Client,,,,
zcrm_1171216000000219282,Robert Half Leicester,Agency,,,,
zcrm_1171216000000219283,Royle Recruitment,Agency,,,,
zcrm_1171216000000219285,Rullion Alltrades Manchester DO NOT USE,Agency,,,,
zcrm_1171216000000219286,Rullion Alltrades Whitehaven DO NOT USE,Agency,,,,
zcrm_1171216000000219287,Salt,Agency,,,,
zcrm_1171216000000219288,Satisfy Recruitment Services,Agency,,,,
zcrm_1171216000000219290,Search Consultancy Brighton,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219291,Search Consultancy Aberdeen,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219292,Search Consultancy Crawley,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219293,Search Consultancy Dundee,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219294,Search Consultancy Dunfermline,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,,17.95
zcrm_1171216000000219295,Search Consultancy Edinburgh,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219296,Search Consultancy Glasgow,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219297,Search Consultancy Inverness,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219298,Search Consultancy Leeds,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219299,Search Consultancy Leicester,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219300,Search Consultancy Liverpool,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219301,Search Consultancy Manchester,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219302,Search Consultancy Northern Ireland,Agency,,,,
zcrm_1171216000000219303,Search Consultancy Parent Group,Agency,,,,
zcrm_1171216000000219304,Search Consultancy Sheffield,Agency,"£18.00 Umbrella for all rates above £11.08 ph , £12.50 margin for workers on 11.08 ph, £10 margin for 13 hours or less",£18.00 Umbrella for all rates above £11.08 ph £10 margin for 13 hours or less,NA,17.95
zcrm_1171216000000219305,Search Consultancy West Sussex,Agency,NA,NA,26.90,NA
zcrm_1171216000000219306,SEP Ltd,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000219307,Service Care Solutions,Agency,£12,£12,NA,NA
zcrm_1171216000000219308,Servoca Plc,Agency,26.90,26.90,NA,NA
zcrm_1171216000000219309,Set Square Recruitment Bristol,Agency,,,,
zcrm_1171216000000219310,Set Square Recruitment London,Agency,,,,
zcrm_1171216000000219311,Set Square Recruitment Manchester Technical,Agency,,,,
zcrm_1171216000000219312,Set Square Recruitment Manchester Trades,Agency,£14.45 for New Starters £11.95 if moving from another Provider,£14.45 for New Starters £11.95 if moving from another Provider,NA,NA
zcrm_1171216000000219313,Set Square Recruitment South East,Agency,,,,
zcrm_1171216000000219314,Set Square Recruitment Southampton,Agency,,,,
zcrm_1171216000000219315,Sheridan Maine Recruitment Limited,Agency,£20,£20,NA,NA
zcrm_1171216000000219316,SILVER ARROW,Agency,19.95,19.95,NA,NA
zcrm_1171216000000219317,Simply Education,Agency,26.90,26.90,NA,NA
zcrm_1171216000000219318,Site Project Services Warrington,Agency,NA,19.95,NA,NA
zcrm_1171216000000219319,Sitec Group Southampton,Agency,£19,£19,NA,£19
zcrm_1171216000000219320,Solsbury Solutions,Agency,26.90,26.90,26.90,26.90
zcrm_1171216000000219321,Solution Recruitment,Agency,,,,
zcrm_1171216000000219322,Spectrum Contracting Services,Agency,,,,
zcrm_1171216000000219323,Spinnaker Contractor Services Ltd,Agency,,,,
zcrm_1171216000000219324,SRG Science Recruitment,Agency,£26,£26,NA,NA
zcrm_1171216000000219325,Staff UK,Agency,,,,
zcrm_1171216000000219326,Stephen James Consulting,Agency,,,,
zcrm_1171216000000219327,Sopra Steria,Agency,NA,NA,NA,NA
